#: table_doi: 10.17182/hepdata.92323.v2/t5
#: name: Delta Chi-squared Map (two-dimensional method)
#: description: $\Delta \chi^2$ map of phase-I+II data calculated by the two-dimensional method. To be used in combination with the $\Delta \chi^2_{\text{crit},x}$ values of the two-dimensional method to generate exclusion contours at $x$% C.L. for phase-I+II data. Additional explanations are given there.
#: data_file: DeltaChisquaredValues2D.yaml
#: keyword observables: Delta Chi^2
#: keyword phrases: Delta Chi-squared Map
#: ,delta chi-squared values
$\sin^{2}(2\theta_{ee})$,$\Delta m^{2}_{41}$ [eV$^2$],$\Delta\chi^{2}$
0.0534,0.7547,8.08
0.0559,0.7547,8.06
0.0586,0.7547,8.04
0.0614,0.7547,8.02
0.0643,0.7547,8
0.0673,0.7547,7.99
0.0705,0.7547,7.98
0.0739,0.7547,7.97
0.0774,0.7547,7.97
0.0811,0.7547,7.97
0.085,0.7547,7.98
0.089,0.7547,8
0.0933,0.7547,8.02
0.0977,0.7547,8.05
0.1024,0.7547,8.09
0.1072,0.7547,8.14
0.1123,0.7547,8.2
0.1177,0.7547,8.28
0.1233,0.7547,8.38
0.1292,0.7547,8.49
0.1353,0.7547,8.63
0.1417,0.7547,8.79
0.1485,0.7547,8.98
0.1556,0.7547,9.2
0.163,0.7547,9.46
0.1707,0.7547,9.76
0.1789,0.7547,10.1
0.1874,0.7547,10.5
0.1963,0.7547,10.97
0.2057,0.7547,11.5
0.2154,0.7547,12.11
0.2257,0.7547,12.81
0.2364,0.7547,13.62
0.2477,0.7547,14.55
0.2595,0.7547,15.61
0.2719,0.7547,16.83
0.2848,0.7547,18.23
0.2984,0.7547,19.83
0.3126,0.7547,21.68
0.3275,0.7547,23.8
0.343,0.7547,26.24
0.3594,0.7547,29.06
0.3765,0.7547,32.32
0.3944,0.7547,36.08
0.4132,0.7547,40.45
0.4329,0.7547,45.53
0.4535,0.7547,51.46
0.4751,0.7547,58.4
0.4977,0.7547,66.56
0.5214,0.7547,76.2
0.5462,0.7547,87.64
0.5722,0.7547,101.33
0.5995,0.7547,117.83
0.628,0.7547,137.89
0.6579,0.7547,162.57
0.6893,0.7547,193.36
0.7221,0.7547,232.45
0.7565,0.7547,283.2
0.7925,0.7547,351.12
0.8302,0.7547,445.72
0.8697,0.7547,585.05
0.9112,0.7547,807.17
0.9545,0.7547,1219.74
1,0.7547,1218.63
0.01,0.7943,8.81
0.0105,0.7943,8.8
0.011,0.7943,8.79
0.0115,0.7943,8.78
0.012,0.7943,8.78
0.0126,0.7943,8.77
0.0132,0.7943,8.76
0.0138,0.7943,8.75
0.0145,0.7943,8.74
0.0152,0.7943,8.73
0.0159,0.7943,8.72
0.0167,0.7943,8.71
0.0175,0.7943,8.7
0.0183,0.7943,8.69
0.0192,0.7943,8.68
0.0201,0.7943,8.67
0.021,0.7943,8.66
0.0221,0.7943,8.65
0.0231,0.7943,8.64
0.0242,0.7943,8.62
0.0254,0.7943,8.61
0.0266,0.7943,8.6
0.0278,0.7943,8.59
0.0292,0.7943,8.58
0.0305,0.7943,8.57
0.032,0.7943,8.55
0.0335,0.7943,8.54
0.0351,0.7943,8.53
0.0368,0.7943,8.52
0.0385,0.7943,8.51
0.0404,0.7943,8.5
0.0423,0.7943,8.49
0.0443,0.7943,8.49
0.0464,0.7943,8.48
0.0486,0.7943,8.48
0.0509,0.7943,8.48
0.0534,0.7943,8.47
0.0559,0.7943,8.48
0.0586,0.7943,8.48
0.0614,0.7943,8.49
0.0643,0.7943,8.5
0.0673,0.7943,8.52
0.0705,0.7943,8.54
0.0739,0.7943,8.57
0.0774,0.7943,8.6
0.0811,0.7943,8.64
0.085,0.7943,8.69
0.089,0.7943,8.74
0.0933,0.7943,8.81
0.0977,0.7943,8.89
0.1024,0.7943,8.98
0.1072,0.7943,9.09
0.1123,0.7943,9.22
0.1177,0.7943,9.36
0.1233,0.7943,9.53
0.1292,0.7943,9.72
0.1353,0.7943,9.93
0.1417,0.7943,10.18
0.1485,0.7943,10.46
0.1556,0.7943,10.79
0.163,0.7943,11.15
0.1707,0.7943,11.57
0.1789,0.7943,12.04
0.1874,0.7943,12.58
0.1963,0.7943,13.19
0.2057,0.7943,13.88
0.2154,0.7943,14.67
0.2257,0.7943,15.56
0.2364,0.7943,16.57
0.2477,0.7943,17.71
0.2595,0.7943,19.01
0.2719,0.7943,20.49
0.2848,0.7943,22.17
0.2984,0.7943,24.08
0.3126,0.7943,26.25
0.3275,0.7943,28.73
0.343,0.7943,31.55
0.3594,0.7943,34.78
0.3765,0.7943,38.48
0.3944,0.7943,42.72
0.4132,0.7943,47.6
0.4329,0.7943,53.22
0.4535,0.7943,59.72
0.4751,0.7943,67.26
0.4977,0.7943,76.03
0.5214,0.7943,86.29
0.5462,0.7943,98.34
0.5722,0.7943,112.57
0.5995,0.7943,129.5
0.628,0.7943,149.79
0.6579,0.7943,174.36
0.6893,0.7943,204.44
0.7221,0.7943,241.8
0.7565,0.7943,289.05
0.7925,0.7943,350.18
0.8302,0.7943,431.66
0.8697,0.7943,544.59
0.9112,0.7943,710.4
0.9545,0.7943,993.48
1,0.7943,992.74
0.01,0.836,8.89
0.0105,0.836,8.89
0.011,0.836,8.89
0.0115,0.836,8.88
0.012,0.836,8.88
0.0126,0.836,8.88
0.0132,0.836,8.88
0.0138,0.836,8.87
0.0145,0.836,8.87
0.0152,0.836,8.87
0.0159,0.836,8.86
0.0167,0.836,8.86
0.0175,0.836,8.86
0.0183,0.836,8.85
0.0192,0.836,8.85
0.0201,0.836,8.85
0.021,0.836,8.85
0.0221,0.836,8.85
0.0231,0.836,8.84
0.0242,0.836,8.84
0.0254,0.836,8.84
0.0266,0.836,8.84
0.0278,0.836,8.84
0.0292,0.836,8.84
0.0305,0.836,8.85
0.032,0.836,8.85
0.0335,0.836,8.85
0.0351,0.836,8.86
0.0368,0.836,8.86
0.0385,0.836,8.87
0.0404,0.836,8.88
0.0423,0.836,8.89
0.0443,0.836,8.91
0.0464,0.836,8.92
0.0486,0.836,8.94
0.0509,0.836,8.96
0.0534,0.836,8.99
0.0559,0.836,9.02
0.0586,0.836,9.05
0.0614,0.836,9.09
0.0643,0.836,9.13
0.0673,0.836,9.18
0.0705,0.836,9.24
0.0739,0.836,9.31
0.0774,0.836,9.38
0.0811,0.836,9.46
0.085,0.836,9.56
0.089,0.836,9.66
0.0933,0.836,9.78
0.0977,0.836,9.91
0.1024,0.836,10.06
0.1072,0.836,10.23
0.1123,0.836,10.42
0.1177,0.836,10.64
0.1233,0.836,10.88
0.1292,0.836,11.15
0.1353,0.836,11.45
0.1417,0.836,11.78
0.1485,0.836,12.16
0.1556,0.836,12.59
0.163,0.836,13.06
0.1707,0.836,13.6
0.1789,0.836,14.19
0.1874,0.836,14.86
0.1963,0.836,15.62
0.2057,0.836,16.46
0.2154,0.836,17.41
0.2257,0.836,18.47
0.2364,0.836,19.67
0.2477,0.836,21.01
0.2595,0.836,22.52
0.2719,0.836,24.23
0.2848,0.836,26.15
0.2984,0.836,28.32
0.3126,0.836,30.77
0.3275,0.836,33.54
0.343,0.836,36.68
0.3594,0.836,40.24
0.3765,0.836,44.29
0.3944,0.836,48.9
0.4132,0.836,54.17
0.4329,0.836,60.18
0.4535,0.836,67.09
0.4751,0.836,75.02
0.4977,0.836,84.18
0.5214,0.836,94.78
0.5462,0.836,107.11
0.5722,0.836,121.52
0.5995,0.836,138.44
0.628,0.836,158.44
0.6579,0.836,182.26
0.6893,0.836,210.88
0.7221,0.836,245.64
0.7565,0.836,288.41
0.7925,0.836,341.89
0.8302,0.836,410.2
0.8697,0.836,500.04
0.9112,0.836,624.41
0.9545,0.836,825.37
1,0.836,824.85
0.01,0.8799,9
0.0105,0.8799,9
0.011,0.8799,9.01
0.0115,0.8799,9.01
0.012,0.8799,9.01
0.0126,0.8799,9.02
0.0132,0.8799,9.02
0.0138,0.8799,9.02
0.0145,0.8799,9.03
0.0152,0.8799,9.03
0.0159,0.8799,9.04
0.0167,0.8799,9.04
0.0175,0.8799,9.05
0.0183,0.8799,9.06
0.0192,0.8799,9.06
0.0201,0.8799,9.07
0.021,0.8799,9.08
0.0221,0.8799,9.09
0.0231,0.8799,9.1
0.0242,0.8799,9.11
0.0254,0.8799,9.12
0.0266,0.8799,9.14
0.0278,0.8799,9.15
0.0292,0.8799,9.17
0.0305,0.8799,9.19
0.032,0.8799,9.21
0.0335,0.8799,9.23
0.0351,0.8799,9.25
0.0368,0.8799,9.28
0.0385,0.8799,9.3
0.0404,0.8799,9.33
0.0423,0.8799,9.37
0.0443,0.8799,9.41
0.0464,0.8799,9.45
0.0486,0.8799,9.49
0.0509,0.8799,9.54
0.0534,0.8799,9.59
0.0559,0.8799,9.65
0.0586,0.8799,9.72
0.0614,0.8799,9.79
0.0643,0.8799,9.87
0.0673,0.8799,9.96
0.0705,0.8799,10.05
0.0739,0.8799,10.16
0.0774,0.8799,10.27
0.0811,0.8799,10.4
0.085,0.8799,10.54
0.089,0.8799,10.69
0.0933,0.8799,10.87
0.0977,0.8799,11.05
0.1024,0.8799,11.26
0.1072,0.8799,11.49
0.1123,0.8799,11.75
0.1177,0.8799,12.03
0.1233,0.8799,12.33
0.1292,0.8799,12.68
0.1353,0.8799,13.06
0.1417,0.8799,13.48
0.1485,0.8799,13.94
0.1556,0.8799,14.45
0.163,0.8799,15.03
0.1707,0.8799,15.66
0.1789,0.8799,16.36
0.1874,0.8799,17.14
0.1963,0.8799,18.01
0.2057,0.8799,18.97
0.2154,0.8799,20.05
0.2257,0.8799,21.24
0.2364,0.8799,22.58
0.2477,0.8799,24.07
0.2595,0.8799,25.73
0.2719,0.8799,27.59
0.2848,0.8799,29.68
0.2984,0.8799,32.01
0.3126,0.8799,34.63
0.3275,0.8799,37.58
0.343,0.8799,40.9
0.3594,0.8799,44.64
0.3765,0.8799,48.87
0.3944,0.8799,53.65
0.4132,0.8799,59.07
0.4329,0.8799,65.24
0.4535,0.8799,72.26
0.4751,0.8799,80.28
0.4977,0.8799,89.47
0.5214,0.8799,100.04
0.5462,0.8799,112.22
0.5722,0.8799,126.34
0.5995,0.8799,142.77
0.628,0.8799,161.99
0.6579,0.8799,184.6
0.6893,0.8799,211.4
0.7221,0.8799,243.41
0.7565,0.8799,282.04
0.7925,0.8799,329.23
0.8302,0.8799,387.85
0.8697,0.8799,462.52
0.9112,0.8799,562.41
0.9545,0.8799,715.96
1,0.8799,715.59
0.01,0.9261,9.13
0.0105,0.9261,9.13
0.011,0.9261,9.14
0.0115,0.9261,9.15
0.012,0.9261,9.16
0.0126,0.9261,9.17
0.0132,0.9261,9.18
0.0138,0.9261,9.2
0.0145,0.9261,9.21
0.0152,0.9261,9.22
0.0159,0.9261,9.24
0.0167,0.9261,9.25
0.0175,0.9261,9.27
0.0183,0.9261,9.28
0.0192,0.9261,9.3
0.0201,0.9261,9.32
0.021,0.9261,9.34
0.0221,0.9261,9.36
0.0231,0.9261,9.39
0.0242,0.9261,9.41
0.0254,0.9261,9.44
0.0266,0.9261,9.47
0.0278,0.9261,9.5
0.0292,0.9261,9.53
0.0305,0.9261,9.57
0.032,0.9261,9.6
0.0335,0.9261,9.64
0.0351,0.9261,9.69
0.0368,0.9261,9.73
0.0385,0.9261,9.78
0.0404,0.9261,9.84
0.0423,0.9261,9.9
0.0443,0.9261,9.96
0.0464,0.9261,10.02
0.0486,0.9261,10.1
0.0509,0.9261,10.18
0.0534,0.9261,10.26
0.0559,0.9261,10.35
0.0586,0.9261,10.45
0.0614,0.9261,10.56
0.0643,0.9261,10.67
0.0673,0.9261,10.79
0.0705,0.9261,10.93
0.0739,0.9261,11.08
0.0774,0.9261,11.24
0.0811,0.9261,11.41
0.085,0.9261,11.6
0.089,0.9261,11.8
0.0933,0.9261,12.02
0.0977,0.9261,12.27
0.1024,0.9261,12.53
0.1072,0.9261,12.82
0.1123,0.9261,13.13
0.1177,0.9261,13.48
0.1233,0.9261,13.85
0.1292,0.9261,14.26
0.1353,0.9261,14.71
0.1417,0.9261,15.21
0.1485,0.9261,15.75
0.1556,0.9261,16.34
0.163,0.9261,17
0.1707,0.9261,17.72
0.1789,0.9261,18.51
0.1874,0.9261,19.38
0.1963,0.9261,20.34
0.2057,0.9261,21.4
0.2154,0.9261,22.57
0.2257,0.9261,23.86
0.2364,0.9261,25.29
0.2477,0.9261,26.88
0.2595,0.9261,28.64
0.2719,0.9261,30.6
0.2848,0.9261,32.77
0.2984,0.9261,35.2
0.3126,0.9261,37.9
0.3275,0.9261,40.92
0.343,0.9261,44.29
0.3594,0.9261,48.07
0.3765,0.9261,52.32
0.3944,0.9261,57.09
0.4132,0.9261,62.47
0.4329,0.9261,68.54
0.4535,0.9261,75.41
0.4751,0.9261,83.21
0.4977,0.9261,92.09
0.5214,0.9261,102.22
0.5462,0.9261,113.83
0.5722,0.9261,127.18
0.5995,0.9261,142.6
0.628,0.9261,160.5
0.6579,0.9261,181.39
0.6893,0.9261,205.94
0.7221,0.9261,235
0.7565,0.9261,269.75
0.7925,0.9261,311.79
0.8302,0.9261,363.48
0.8697,0.9261,428.56
0.9112,0.9261,513.93
0.9545,0.9261,635.67
1,0.9261,635.4
0.01,0.9747,9.25
0.0105,0.9747,9.27
0.011,0.9747,9.28
0.0115,0.9747,9.3
0.012,0.9747,9.32
0.0126,0.9747,9.33
0.0132,0.9747,9.35
0.0138,0.9747,9.37
0.0145,0.9747,9.39
0.0152,0.9747,9.42
0.0159,0.9747,9.44
0.0167,0.9747,9.46
0.0175,0.9747,9.49
0.0183,0.9747,9.52
0.0192,0.9747,9.55
0.0201,0.9747,9.58
0.021,0.9747,9.61
0.0221,0.9747,9.65
0.0231,0.9747,9.68
0.0242,0.9747,9.72
0.0254,0.9747,9.77
0.0266,0.9747,9.81
0.0278,0.9747,9.86
0.0292,0.9747,9.91
0.0305,0.9747,9.96
0.032,0.9747,10.02
0.0335,0.9747,10.08
0.0351,0.9747,10.14
0.0368,0.9747,10.21
0.0385,0.9747,10.28
0.0404,0.9747,10.36
0.0423,0.9747,10.44
0.0443,0.9747,10.53
0.0464,0.9747,10.63
0.0486,0.9747,10.73
0.0509,0.9747,10.83
0.0534,0.9747,10.95
0.0559,0.9747,11.07
0.0586,0.9747,11.21
0.0614,0.9747,11.35
0.0643,0.9747,11.5
0.0673,0.9747,11.67
0.0705,0.9747,11.84
0.0739,0.9747,12.03
0.0774,0.9747,12.24
0.0811,0.9747,12.46
0.085,0.9747,12.7
0.089,0.9747,12.95
0.0933,0.9747,13.23
0.0977,0.9747,13.53
0.1024,0.9747,13.85
0.1072,0.9747,14.2
0.1123,0.9747,14.58
0.1177,0.9747,14.99
0.1233,0.9747,15.44
0.1292,0.9747,15.92
0.1353,0.9747,16.45
0.1417,0.9747,17.02
0.1485,0.9747,17.65
0.1556,0.9747,18.33
0.163,0.9747,19.07
0.1707,0.9747,19.88
0.1789,0.9747,20.77
0.1874,0.9747,21.74
0.1963,0.9747,22.81
0.2057,0.9747,23.97
0.2154,0.9747,25.25
0.2257,0.9747,26.66
0.2364,0.9747,28.21
0.2477,0.9747,29.91
0.2595,0.9747,31.79
0.2719,0.9747,33.87
0.2848,0.9747,36.17
0.2984,0.9747,38.71
0.3126,0.9747,41.53
0.3275,0.9747,44.66
0.343,0.9747,48.15
0.3594,0.9747,52.02
0.3765,0.9747,56.35
0.3944,0.9747,61.2
0.4132,0.9747,66.62
0.4329,0.9747,72.7
0.4535,0.9747,79.55
0.4751,0.9747,87.27
0.4977,0.9747,96
0.5214,0.9747,105.9
0.5462,0.9747,117.15
0.5722,0.9747,130
0.5995,0.9747,144.71
0.628,0.9747,161.64
0.6579,0.9747,181.2
0.6893,0.9747,203.95
0.7221,0.9747,230.58
0.7565,0.9747,262.01
0.7925,0.9747,299.51
0.8302,0.9747,344.88
0.8697,0.9747,400.91
0.9112,0.9747,472.25
0.9545,0.9747,567.53
1,0.9747,567.33
0.01,1.0259,9.37
0.0105,1.0259,9.39
0.011,1.0259,9.41
0.0115,1.0259,9.43
0.012,1.0259,9.46
0.0126,1.0259,9.48
0.0132,1.0259,9.51
0.0138,1.0259,9.54
0.0145,1.0259,9.56
0.0152,1.0259,9.59
0.0159,1.0259,9.63
0.0167,1.0259,9.66
0.0175,1.0259,9.7
0.0183,1.0259,9.73
0.0192,1.0259,9.77
0.0201,1.0259,9.82
0.021,1.0259,9.86
0.0221,1.0259,9.91
0.0231,1.0259,9.96
0.0242,1.0259,10.01
0.0254,1.0259,10.07
0.0266,1.0259,10.13
0.0278,1.0259,10.19
0.0292,1.0259,10.26
0.0305,1.0259,10.33
0.032,1.0259,10.4
0.0335,1.0259,10.48
0.0351,1.0259,10.56
0.0368,1.0259,10.65
0.0385,1.0259,10.75
0.0404,1.0259,10.85
0.0423,1.0259,10.96
0.0443,1.0259,11.07
0.0464,1.0259,11.19
0.0486,1.0259,11.32
0.0509,1.0259,11.46
0.0534,1.0259,11.61
0.0559,1.0259,11.76
0.0586,1.0259,11.93
0.0614,1.0259,12.11
0.0643,1.0259,12.3
0.0673,1.0259,12.5
0.0705,1.0259,12.72
0.0739,1.0259,12.96
0.0774,1.0259,13.21
0.0811,1.0259,13.48
0.085,1.0259,13.77
0.089,1.0259,14.08
0.0933,1.0259,14.42
0.0977,1.0259,14.78
0.1024,1.0259,15.17
0.1072,1.0259,15.59
0.1123,1.0259,16.04
0.1177,1.0259,16.53
0.1233,1.0259,17.06
0.1292,1.0259,17.64
0.1353,1.0259,18.26
0.1417,1.0259,18.93
0.1485,1.0259,19.66
0.1556,1.0259,20.45
0.163,1.0259,21.31
0.1707,1.0259,22.25
0.1789,1.0259,23.27
0.1874,1.0259,24.39
0.1963,1.0259,25.61
0.2057,1.0259,26.94
0.2154,1.0259,28.4
0.2257,1.0259,29.99
0.2364,1.0259,31.75
0.2477,1.0259,33.67
0.2595,1.0259,35.79
0.2719,1.0259,38.13
0.2848,1.0259,40.71
0.2984,1.0259,43.56
0.3126,1.0259,46.71
0.3275,1.0259,50.21
0.343,1.0259,54.09
0.3594,1.0259,58.42
0.3765,1.0259,63.24
0.3944,1.0259,68.63
0.4132,1.0259,74.66
0.4329,1.0259,81.44
0.4535,1.0259,89.07
0.4751,1.0259,97.69
0.4977,1.0259,107.44
0.5214,1.0259,118.52
0.5462,1.0259,131.16
0.5722,1.0259,145.63
0.5995,1.0259,162.27
0.628,1.0259,181.5
0.6579,1.0259,203.85
0.6893,1.0259,229.99
0.7221,1.0259,260.78
0.7565,1.0259,297.36
0.7925,1.0259,341.25
0.8302,1.0259,394.55
0.8697,1.0259,460.28
0.9112,1.0259,542.97
0.9545,1.0259,649.84
1,1.0259,649.62
0.01,1.0798,9.46
0.0105,1.0798,9.48
0.011,1.0798,9.51
0.0115,1.0798,9.53
0.012,1.0798,9.56
0.0126,1.0798,9.59
0.0132,1.0798,9.62
0.0138,1.0798,9.66
0.0145,1.0798,9.69
0.0152,1.0798,9.73
0.0159,1.0798,9.77
0.0167,1.0798,9.81
0.0175,1.0798,9.85
0.0183,1.0798,9.9
0.0192,1.0798,9.95
0.0201,1.0798,10
0.021,1.0798,10.05
0.0221,1.0798,10.11
0.0231,1.0798,10.17
0.0242,1.0798,10.23
0.0254,1.0798,10.3
0.0266,1.0798,10.37
0.0278,1.0798,10.45
0.0292,1.0798,10.53
0.0305,1.0798,10.61
0.032,1.0798,10.7
0.0335,1.0798,10.79
0.0351,1.0798,10.9
0.0368,1.0798,11
0.0385,1.0798,11.12
0.0404,1.0798,11.24
0.0423,1.0798,11.36
0.0443,1.0798,11.5
0.0464,1.0798,11.65
0.0486,1.0798,11.8
0.0509,1.0798,11.96
0.0534,1.0798,12.14
0.0559,1.0798,12.33
0.0586,1.0798,12.53
0.0614,1.0798,12.74
0.0643,1.0798,12.97
0.0673,1.0798,13.21
0.0705,1.0798,13.47
0.0739,1.0798,13.75
0.0774,1.0798,14.05
0.0811,1.0798,14.37
0.085,1.0798,14.71
0.089,1.0798,15.08
0.0933,1.0798,15.48
0.0977,1.0798,15.9
0.1024,1.0798,16.36
0.1072,1.0798,16.86
0.1123,1.0798,17.39
0.1177,1.0798,17.97
0.1233,1.0798,18.59
0.1292,1.0798,19.26
0.1353,1.0798,19.99
0.1417,1.0798,20.78
0.1485,1.0798,21.64
0.1556,1.0798,22.57
0.163,1.0798,23.58
0.1707,1.0798,24.68
0.1789,1.0798,25.88
0.1874,1.0798,27.18
0.1963,1.0798,28.61
0.2057,1.0798,30.17
0.2154,1.0798,31.88
0.2257,1.0798,33.75
0.2364,1.0798,35.81
0.2477,1.0798,38.07
0.2595,1.0798,40.55
0.2719,1.0798,43.29
0.2848,1.0798,46.32
0.2984,1.0798,49.67
0.3126,1.0798,53.38
0.3275,1.0798,57.5
0.343,1.0798,62.08
0.3594,1.0798,67.19
0.3765,1.0798,72.9
0.3944,1.0798,79.29
0.4132,1.0798,86.47
0.4329,1.0798,94.55
0.4535,1.0798,103.68
0.4751,1.0798,114.02
0.4977,1.0798,125.78
0.5214,1.0798,139.21
0.5462,1.0798,154.61
0.5722,1.0798,172.35
0.5995,1.0798,192.91
0.628,1.0798,216.87
0.6579,1.0798,245.01
0.6893,1.0798,278.3
0.7221,1.0798,318.08
0.7565,1.0798,366.13
0.7925,1.0798,424.93
0.8302,1.0798,498
0.8697,1.0798,590.48
0.9112,1.0798,710.16
0.9545,1.0798,869.09
1,1.0798,868.76
0.01,1.1365,9.49
0.0105,1.1365,9.52
0.011,1.1365,9.55
0.0115,1.1365,9.57
0.012,1.1365,9.61
0.0126,1.1365,9.64
0.0132,1.1365,9.67
0.0138,1.1365,9.71
0.0145,1.1365,9.75
0.0152,1.1365,9.79
0.0159,1.1365,9.83
0.0167,1.1365,9.87
0.0175,1.1365,9.92
0.0183,1.1365,9.97
0.0192,1.1365,10.02
0.0201,1.1365,10.08
0.021,1.1365,10.14
0.0221,1.1365,10.2
0.0231,1.1365,10.26
0.0242,1.1365,10.33
0.0254,1.1365,10.4
0.0266,1.1365,10.48
0.0278,1.1365,10.56
0.0292,1.1365,10.65
0.0305,1.1365,10.74
0.032,1.1365,10.84
0.0335,1.1365,10.94
0.0351,1.1365,11.06
0.0368,1.1365,11.17
0.0385,1.1365,11.3
0.0404,1.1365,11.43
0.0423,1.1365,11.57
0.0443,1.1365,11.72
0.0464,1.1365,11.88
0.0486,1.1365,12.05
0.0509,1.1365,12.23
0.0534,1.1365,12.42
0.0559,1.1365,12.63
0.0586,1.1365,12.85
0.0614,1.1365,13.08
0.0643,1.1365,13.34
0.0673,1.1365,13.61
0.0705,1.1365,13.9
0.0739,1.1365,14.21
0.0774,1.1365,14.54
0.0811,1.1365,14.89
0.085,1.1365,15.28
0.089,1.1365,15.69
0.0933,1.1365,16.13
0.0977,1.1365,16.61
0.1024,1.1365,17.13
0.1072,1.1365,17.68
0.1123,1.1365,18.28
0.1177,1.1365,18.93
0.1233,1.1365,19.63
0.1292,1.1365,20.39
0.1353,1.1365,21.22
0.1417,1.1365,22.11
0.1485,1.1365,23.08
0.1556,1.1365,24.14
0.163,1.1365,25.29
0.1707,1.1365,26.54
0.1789,1.1365,27.9
0.1874,1.1365,29.39
0.1963,1.1365,31.02
0.2057,1.1365,32.81
0.2154,1.1365,34.77
0.2257,1.1365,36.91
0.2364,1.1365,39.27
0.2477,1.1365,41.87
0.2595,1.1365,44.73
0.2719,1.1365,47.89
0.2848,1.1365,51.39
0.2984,1.1365,55.25
0.3126,1.1365,59.54
0.3275,1.1365,64.31
0.343,1.1365,69.62
0.3594,1.1365,75.54
0.3765,1.1365,82.16
0.3944,1.1365,89.58
0.4132,1.1365,97.9
0.4329,1.1365,107.28
0.4535,1.1365,117.87
0.4751,1.1365,129.86
0.4977,1.1365,143.47
0.5214,1.1365,158.99
0.5462,1.1365,176.74
0.5722,1.1365,197.13
0.5995,1.1365,220.65
0.628,1.1365,247.92
0.6579,1.1365,279.71
0.6893,1.1365,317
0.7221,1.1365,361.05
0.7565,1.1365,413.51
0.7925,1.1365,476.62
0.8302,1.1365,553.44
0.8697,1.1365,648.42
0.9112,1.1365,768.36
0.9545,1.1365,924.6
1,1.1365,924.27
0.01,1.1961,9.45
0.0105,1.1961,9.48
0.011,1.1961,9.5
0.0115,1.1961,9.53
0.012,1.1961,9.56
0.0126,1.1961,9.59
0.0132,1.1961,9.62
0.0138,1.1961,9.66
0.0145,1.1961,9.69
0.0152,1.1961,9.73
0.0159,1.1961,9.77
0.0167,1.1961,9.81
0.0175,1.1961,9.86
0.0183,1.1961,9.91
0.0192,1.1961,9.96
0.0201,1.1961,10.01
0.021,1.1961,10.06
0.0221,1.1961,10.12
0.0231,1.1961,10.19
0.0242,1.1961,10.25
0.0254,1.1961,10.32
0.0266,1.1961,10.4
0.0278,1.1961,10.48
0.0292,1.1961,10.56
0.0305,1.1961,10.65
0.032,1.1961,10.74
0.0335,1.1961,10.84
0.0351,1.1961,10.95
0.0368,1.1961,11.07
0.0385,1.1961,11.19
0.0404,1.1961,11.32
0.0423,1.1961,11.46
0.0443,1.1961,11.6
0.0464,1.1961,11.76
0.0486,1.1961,11.93
0.0509,1.1961,12.11
0.0534,1.1961,12.3
0.0559,1.1961,12.51
0.0586,1.1961,12.73
0.0614,1.1961,12.96
0.0643,1.1961,13.22
0.0673,1.1961,13.49
0.0705,1.1961,13.78
0.0739,1.1961,14.09
0.0774,1.1961,14.43
0.0811,1.1961,14.79
0.085,1.1961,15.19
0.089,1.1961,15.61
0.0933,1.1961,16.06
0.0977,1.1961,16.56
0.1024,1.1961,17.09
0.1072,1.1961,17.67
0.1123,1.1961,18.29
0.1177,1.1961,18.97
0.1233,1.1961,19.7
0.1292,1.1961,20.5
0.1353,1.1961,21.37
0.1417,1.1961,22.31
0.1485,1.1961,23.34
0.1556,1.1961,24.46
0.163,1.1961,25.68
0.1707,1.1961,27.02
0.1789,1.1961,28.48
0.1874,1.1961,30.08
0.1963,1.1961,31.84
0.2057,1.1961,33.77
0.2154,1.1961,35.89
0.2257,1.1961,38.23
0.2364,1.1961,40.8
0.2477,1.1961,43.65
0.2595,1.1961,46.79
0.2719,1.1961,50.27
0.2848,1.1961,54.13
0.2984,1.1961,58.41
0.3126,1.1961,63.19
0.3275,1.1961,68.5
0.343,1.1961,74.45
0.3594,1.1961,81.1
0.3765,1.1961,88.56
0.3944,1.1961,96.96
0.4132,1.1961,106.43
0.4329,1.1961,117.13
0.4535,1.1961,129.27
0.4751,1.1961,143.08
0.4977,1.1961,158.86
0.5214,1.1961,176.94
0.5462,1.1961,197.76
0.5722,1.1961,221.85
0.5995,1.1961,249.87
0.628,1.1961,282.65
0.6579,1.1961,321.28
0.6893,1.1961,367.15
0.7221,1.1961,422.12
0.7565,1.1961,488.68
0.7925,1.1961,570.27
0.8302,1.1961,671.77
0.8697,1.1961,800.25
0.9112,1.1961,966.41
0.9545,1.1961,1187.07
1,1.1961,1186.62
0.01,1.2589,9.34
0.0105,1.2589,9.36
0.011,1.2589,9.38
0.0115,1.2589,9.4
0.012,1.2589,9.42
0.0126,1.2589,9.45
0.0132,1.2589,9.47
0.0138,1.2589,9.5
0.0145,1.2589,9.53
0.0152,1.2589,9.56
0.0159,1.2589,9.59
0.0167,1.2589,9.62
0.0175,1.2589,9.66
0.0183,1.2589,9.69
0.0192,1.2589,9.73
0.0201,1.2589,9.78
0.021,1.2589,9.82
0.0221,1.2589,9.87
0.0231,1.2589,9.92
0.0242,1.2589,9.98
0.0254,1.2589,10.03
0.0266,1.2589,10.1
0.0278,1.2589,10.16
0.0292,1.2589,10.23
0.0305,1.2589,10.31
0.032,1.2589,10.39
0.0335,1.2589,10.47
0.0351,1.2589,10.56
0.0368,1.2589,10.66
0.0385,1.2589,10.76
0.0404,1.2589,10.87
0.0423,1.2589,10.99
